t,nose_x,nose_y,nose_z,nose_v,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_v,left_eye_x,left_eye_y,left_eye_z,left_eye_v,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_v,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_v,right_eye_x,right_eye_y,right_eye_z,right_eye_v,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_v,left_ear_x,left_ear_y,left_ear_z,left_ear_v,right_ear_x,right_ear_y,right_ear_z,right_ear_v,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_v,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_v,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_v,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_v,left_index_x,left_index_y,left_index_z,left_index_v,right_index_x,right_index_y,right_index_z,right_index_v,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_v,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v,left_knee_x,left_knee_y,left_knee_z,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_v,left_heel_x,left_heel_y,left_heel_z,left_heel_v,right_heel_x,right_heel_y,right_heel_z,right_heel_v,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_v,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_v
0,0.7970551252365112,0.4852176308631897,-0.43490317463874817,0.9997952580451965,0.8034836053848267,0.4758453667163849,-0.42508426308631897,0.9994308352470398,0.8068059682846069,0.4753186106681824,-0.42511069774627686,0.9992197751998901,0.8102847933769226,0.47469562292099,-0.4251359701156616,0.9992132186889648,0.7908586263656616,0.4737432599067688,-0.44586747884750366,0.999625563621521,0.7847844362258911,0.47199195623397827,-0.446012407541275,0.9995793700218201,0.7781228423118591,0.4702489972114563,-0.44614917039871216,0.9996957778930664,0.8046108484268188,0.4667550325393677,-0.2637041211128235,0.9986672401428223,0.758658766746521,0.4611364006996155,-0.35970449447631836,0.9997361302375793,0.7968726754188538,0.48972785472869873,-0.3611723780632019,0.9998189806938171,0.780890703201294,0.4870122969150543,-0.3892960846424103,0.9999182224273682,0.8347396850585938,0.5006016492843628,-0.1056252047419548,0.9998875856399536,0.6547209024429321,0.4956100583076477,-0.2197713404893875,0.9999613761901855,0.8526991605758667,0.5785282850265503,-0.04399304836988449,0.8577804565429688,0.6112011075019836,0.5771955251693726,-0.16067150235176086,0.989141583442688,0.7845997214317322,0.6179406642913818,-0.268969863653183,0.7128341794013977,0.6992291212081909,0.6124512553215027,-0.273073673248291,0.9674516916275024,0.7717885971069336,0.6331257224082947,-0.327589213848114,0.6239551901817322,0.7315322756767273,0.6290450692176819,-0.32642611861228943,0.9395719170570374,0.7655547261238098,0.6233627796173096,-0.3676724135875702,0.633758544921875,0.7393245697021484,0.6185256838798523,-0.34498652815818787,0.9410976767539978,0.7677268981933594,0.6170106530189514,-0.288492888212204,0.6066190004348755,0.7331679463386536,0.6126096248626709,-0.2771487236022949,0.9110336303710938,0.7799338102340698,0.6535451412200928,0.029157962650060654,0.9992110729217529,0.6804148554801941,0.648968517780304,-0.02897859364748001,0.999320387840271,0.7627723217010498,0.7673826217651367,-0.014977412298321724,0.9732167720794678,0.6378161907196045,0.7619491815567017,-0.061462923884391785,0.9856422543525696,0.7454221844673157,0.8613170385360718,0.2616029977798462,0.9625460505485535,0.6202991008758545,0.8630655407905579,0.1784059852361679,0.9787777662277222,0.7239790558815002,0.8707614541053772,0.27923232316970825,0.8535242676734924,0.6289079785346985,0.8734194040298462,0.19244921207427979,0.7991464734077454,0.7871167659759521,0.9042500257492065,0.09765209257602692,0.9542575478553772,0.6261875033378601,0.9093191623687744,-0.013421013951301575,0.9618094563484192
1,0.8020429015159607,0.48371559381484985,-0.5232887268066406,0.9998015761375427,0.8074625134468079,0.4739946126937866,-0.5123616456985474,0.9994524717330933,0.810712993144989,0.4734153151512146,-0.5123428106307983,0.9992509484291077,0.8140935301780701,0.47274312376976013,-0.5123201608657837,0.9992409348487854,0.7950246930122375,0.4725448787212372,-0.5391197204589844,0.9996401071548462,0.7889102101325989,0.4710645377635956,-0.5392717123031616,0.9995965957641602,0.7822787165641785,0.4694695770740509,-0.5394023060798645,0.9997068643569946,0.8094175457954407,0.4661043882369995,-0.3311079740524292,0.9987024068832397,0.7628039121627808,0.46113550662994385,-0.4572520852088928,0.9997462034225464,0.8021936416625977,0.48848068714141846,-0.44114795327186584,0.999817430973053,0.7871152758598328,0.4865380525588989,-0.47781404852867126,0.9999184608459473,0.8349041938781738,0.5007495284080505,-0.12475144863128662,0.9998862743377686,0.6566495299339294,0.49542683362960815,-0.3090706765651703,0.999961793422699,0.851902186870575,0.5774927735328674,0.004152714274823666,0.8594368696212769,0.6110376715660095,0.5762016773223877,-0.2385788857936859,0.98976069688797,0.786736011505127,0.6169863343238831,-0.20432502031326294,0.725624680519104,0.6999416351318359,0.612269401550293,-0.33593809604644775,0.9693745374679565,0.7722468972206116,0.6331263780593872,-0.25170522928237915,0.6391091346740723,0.7316378951072693,0.6287492513656616,-0.38853442668914795,0.9427437782287598,0.7657585740089417,0.6233688592910767,-0.307132363319397,0.6486569046974182,0.7402822971343994,0.6184195280075073,-0.4036566913127899,0.9441645741462708,0.7684343457221985,0.6169723868370056,-0.228685200214386,0.6219355463981628,0.7338250875473022,0.6123866438865662,-0.33716243505477905,0.9154226779937744,0.7796621918678284,0.6540701389312744,0.05096333846449852,0.9991231560707092,0.6801128387451172,0.6493685841560364,-0.05089234560728073,0.9992856383323669,0.7630339860916138,0.7681392431259155,0.06050669401884079,0.973205029964447,0.6384127736091614,0.7629987597465515,-0.07472070306539536,0.98625248670578,0.7465361952781677,0.8612764477729797,0.37586304545402527,0.9626151323318481,0.6203056573867798,0.8631697297096252,0.16613204777240753,0.9795587062835693,0.7286496162414551,0.870648980140686,0.39687949419021606,0.858063817024231,0.6288163065910339,0.8734630942344666,0.18084679543972015,0.8052163124084473,0.7871226668357849,0.9041535258293152,0.22300995886325836,0.9540900588035583,0.6267200708389282,0.9099657535552979,-0.038935694843530655,0.9626368880271912
2,0.8030612468719482,0.4836485683917999,-0.5808898210525513,0.9998112916946411,0.8088672161102295,0.4735856354236603,-0.5745462775230408,0.9994803071022034,0.8124329447746277,0.472925066947937,-0.5744802355766296,0.9992901086807251,0.8161084651947021,0.4721827507019043,-0.5744373798370361,0.9992787837982178,0.7957331538200378,0.47243934869766235,-0.600415825843811,0.9996592402458191,0.7894138693809509,0.47102802991867065,-0.6005933880805969,0.9996185302734375,0.7826058864593506,0.46946027874946594,-0.6007164120674133,0.999721884727478,0.8131179809570312,0.46596306562423706,-0.40096354484558105,0.9987550377845764,0.7633862495422363,0.46131452918052673,-0.523043692111969,0.9997589588165283,0.8039659857749939,0.48844319581985474,-0.5000444650650024,0.9998193979263306,0.7883272171020508,0.48657312989234924,-0.5354882478713989,0.9999203085899353,0.8354208469390869,0.5010176301002502,-0.19319650530815125,0.999887228012085,0.6578023433685303,0.49536609649658203,-0.3615666627883911,0.9999626874923706,0.8516372442245483,0.5769795179367065,-0.036878541111946106,0.8638001084327698,0.6107750535011292,0.5757778882980347,-0.2831663489341736,0.9903802871704102,0.7887393236160278,0.6166988611221313,-0.21787160634994507,0.7407323718070984,0.6999678611755371,0.6121004223823547,-0.36601632833480835,0.9713231921195984,0.7726184129714966,0.6332747340202332,-0.27814429998397827,0.6567721366882324,0.7316718697547913,0.6284472942352295,-0.4132026731967926,0.9459665417671204,0.7660298347473145,0.6235277652740479,-0.319635272026062,0.6659064888954163,0.7407236695289612,0.6183836460113525,-0.43014875054359436,0.9473031163215637,0.7692071199417114,0.6170065999031067,-0.2362835854291916,0.6398892402648926,0.7340706586837769,0.6122785210609436,-0.36711061000823975,0.9200881123542786,0.7795860767364502,0.6543036103248596,0.05020640045404434,0.9990475177764893,0.6800113320350647,0.6497226357460022,-0.05018552392721176,0.9992549419403076,0.7634707093238831,0.7683883905410767,0.0593065470457077,0.9736346006393433,0.6384531259536743,0.7638328671455383,-0.06609662622213364,0.9867726564407349,0.7472007274627686,0.8613421320915222,0.3344402313232422,0.9635766744613647,0.6202971339225769,0.8631710410118103,0.16479581594467163,0.9803363680839539,0.7304758429527283,0.8707388043403625,0.3519352078437805,0.8622304797172546,0.6288594603538513,0.8734850287437439,0.17807966470718384,0.8107348084449768,0.7875545024871826,0.9046071171760559,0.17686805129051208,0.9550843834877014,0.6266449689865112,0.9107369780540466,-0.035733237862586975,0.9637607336044312
3,0.8035327196121216,0.4836665093898773,-0.5912455916404724,0.9998202919960022,0.8098257780075073,0.47356006503105164,-0.5892000794410706,0.9995047450065613,0.8136526942253113,0.4728744924068451,-0.5891029238700867,0.9993240833282471,0.8175667524337769,0.4721066653728485,-0.5890523791313171,0.9993113875389099,0.7960863709449768,0.4724518954753876,-0.6154268980026245,0.9996770024299622,0.7896235585212708,0.4710537791252136,-0.6156156063079834,0.9996394515037537,0.7827004790306091,0.4695163369178772,-0.6157358884811401,0.999736487865448,0.8154635429382324,0.4659542739391327,-0.42967909574508667,0.9987998008728027,0.7636221647262573,0.46159934997558594,-0.5534108281135559,0.9997714161872864,0.8048928380012512,0.4884551763534546,-0.5148218870162964,0.9998199939727783,0.7887402772903442,0.4866497814655304,-0.550663948059082,0.9999222755432129,0.8360112905502319,0.501289963722229,-0.22944766283035278,0.9998855590820312,0.658559262752533,0.49533841013908386,-0.39829540252685547,0.9999637007713318,0.8513537049293518,0.5764138698577881,-0.06956477463245392,0.8656360507011414,0.6104305982589722,0.5752058029174805,-0.3257848024368286,0.9909681677818298,0.7913931608200073,0.6163674592971802,-0.23101408779621124,0.7515775561332703,0.6987783908843994,0.6113525032997131,-0.39513903856277466,0.9731001257896423,0.7754038572311401,0.6332777738571167,-0.2812606394290924,0.6697747111320496,0.7301626801490784,0.6270208358764648,-0.4361002743244171,0.9489526152610779,0.768817126750946,0.6236107349395752,-0.32741209864616394,0.6785321235656738,0.7401119470596313,0.6177360415458679,-0.45422330498695374,0.9502100944519043,0.7721427083015442,0.6170222759246826,-0.2506859302520752,0.6533400416374207,0.7331552505493164,0.6114358901977539,-0.39607158303260803,0.9244912266731262,0.779565155506134,0.6544555425643921,0.04878789186477661,0.9989847540855408,0.6799535155296326,0.6497862935066223,-0.04882325604557991,0.9992294907569885,0.7639331817626953,0.7684240341186523,0.054000478237867355,0.9743342995643616,0.6384977102279663,0.7641094326972961,-0.05336975306272507,0.987236499786377,0.7476165890693665,0.8613412976264954,0.3173992335796356,0.9650685787200928,0.6202037334442139,0.8629457354545593,0.16365882754325867,0.9811290502548218,0.7311516404151917,0.8707418441772461,0.33610591292381287,0.8666554093360901,0.6287866830825806,0.8730628490447998,0.17592136561870575,0.8159933686256409,0.788074254989624,0.9051662087440491,0.1603868305683136,0.9567691683769226,0.6265627145767212,0.9116675853729248,-0.034338317811489105,0.9651216864585876
4,0.8035330772399902,0.4837464392185211,-0.6201906800270081,0.9998282790184021,0.8101601004600525,0.47357553243637085,-0.6173490285873413,0.9995284080505371,0.814163088798523,0.4729039967060089,-0.6172449588775635,0.9993566274642944,0.8182440996170044,0.47214552760124207,-0.6171929240226746,0.9993430972099304,0.7960657477378845,0.4725865423679352,-0.6438338160514832,0.999693751335144,0.7895545959472656,0.4712613821029663,-0.6440230011940002,0.9996589422225952,0.7826182842254639,0.4697638750076294,-0.6441330313682556,0.9997502565383911,0.8166433572769165,0.4660096764564514,-0.45051854848861694,0.9988416433334351,0.7635791897773743,0.46204397082328796,-0.575314998626709,0.9997830390930176,0.8051120042800903,0.48848745226860046,-0.5408210754394531,0.9998200535774231,0.788726270198822,0.48681506514549255,-0.5770251154899597,0.999923825263977,0.8365135788917542,0.5016084909439087,-0.2396000623703003,0.9998839497566223,0.6592574119567871,0.49533745646476746,-0.4140285551548004,0.9999646544456482,0.8512350916862488,0.5761545300483704,-0.07797079533338547,0.8670334219932556,0.6102889180183411,0.5749948620796204,-0.3375310003757477,0.9914911985397339,0.7930221557617188,0.6160029768943787,-0.23236070573329926,0.7612016201019287,0.6976285576820374,0.6111875176429749,-0.4109135866165161,0.9746947288513184,0.7764462232589722,0.6332780718803406,-0.28809985518455505,0.6811017990112305,0.7290385961532593,0.6267204880714417,-0.4538670778274536,0.9516056776046753,0.7701799869537354,0.6236120462417603,-0.3327372968196869,0.6896306276321411,0.7396583557128906,0.6175562739372253,-0.4731501042842865,0.9528035521507263,0.7735912799835205,0.6170026063919067,-0.25146302580833435,0.6652238965034485,0.7324734926223755,0.6111860871315002,-0.41239210963249207,0.9284002184867859,0.7794435620307922,0.6546849608421326,0.04991498216986656,0.9989114999771118,0.6798887252807617,0.6500377655029297,-0.04999849200248718,0.9991967082023621,0.7646297216415405,0.7689079642295837,0.06408081203699112,0.9748767614364624,0.6385060548782349,0.7644626498222351,-0.048263631761074066,0.9877222180366516,0.7481825947761536,0.8613414764404297,0.3239330053329468,0.96634441614151,0.6201518177986145,0.8628687262535095,0.16557225584983826,0.9818555116653442,0.7321279048919678,0.8707054257392883,0.34008270502090454,0.8709317445755005,0.6285055875778198,0.8729937672615051,0.1774601936340332,0.821113646030426,0.788669228553772,0.9053922891616821,0.17013441026210785,0.9581600427627563,0.6267831921577454,0.9117603302001953,-0.026127735152840614,0.9662888646125793
5,0.8036611080169678,0.4840756952762604,-0.6000444889068604,0.9998340606689453,0.8104709982872009,0.47394123673439026,-0.5965819358825684,0.9995465874671936,0.8145366907119751,0.4732101857662201,-0.5964898467063904,0.999381422996521,0.8186752200126648,0.4723982810974121,-0.596440851688385,0.9993671178817749,0.7961614727973938,0.47311487793922424,-0.6233837008476257,0.9997068643569946,0.7895897030830383,0.47182437777519226,-0.6235600113868713,0.9996741414070129,0.7826085686683655,0.4703146517276764,-0.6236675977706909,0.9997608661651611,0.81719571352005,0.4661618173122406,-0.4294184446334839,0.9988725781440735,0.7635685205459595,0.46247875690460205,-0.5557757616043091,0.9997918605804443,0.8052429556846619,0.48867273330688477,-0.5207449197769165,0.9998183250427246,0.7887758612632751,0.4871252477169037,-0.5573678016662598,0.9999244809150696,0.8365647196769714,0.5017236471176147,-0.22082911431789398,0.999881386756897,0.6594529747962952,0.4953365623950958,-0.39537954330444336,0.9999651312828064,0.8510985374450684,0.5758084058761597,-0.07530494779348373,0.8681313991546631,0.6101138591766357,0.574874997138977,-0.31823331117630005,0.991940975189209,0.7943610548973083,0.615477442741394,-0.22377465665340424,0.7702522873878479,0.6964618563652039,0.6108676195144653,-0.3958948850631714,0.9761642217636108,0.7775835990905762,0.6332082152366638,-0.26823827624320984,0.6919468641281128,0.7281946539878845,0.6261905431747437,-0.43987351655960083,0.9540938138961792,0.7718445658683777,0.6235800981521606,-0.3195061683654785,0.7003086805343628,0.7391711473464966,0.617112934589386,-0.4589519500732422,0.9552421569824219,0.7749266624450684,0.6169266104698181,-0.24510370194911957,0.6766735315322876,0.7316240668296814,0.6106062531471252,-0.39747846126556396,0.9320402145385742,0.7793110013008118,0.6548470258712769,0.05097170174121857,0.9988304972648621,0.6798530220985413,0.6503545045852661,-0.051062971353530884,0.9991557002067566,0.7652245163917542,0.7692881226539612,0.06518305838108063,0.9752947092056274,0.6384626030921936,0.7649103403091431,-0.048334501683712006,0.9881412386894226,0.7492237091064453,0.8613424301147461,0.3308778405189514,0.9672972559928894,0.6201165914535522,0.862909197807312,0.16693319380283356,0.9824777841567993,0.7332278490066528,0.8706352114677429,0.34710198640823364,0.8746382594108582,0.6283698678016663,0.8731392621994019,0.17903031408786774,0.825749933719635,0.7897087335586548,0.905490517616272,0.17870822548866272,0.9591479301452637,0.6267922520637512,0.9117567539215088,-0.0229253601282835,0.9671811461448669
6,0.8038661479949951,0.48433205485343933,-0.5685456395149231,0.9998336434364319,0.8107894062995911,0.4744654893875122,-0.5635193586349487,0.9995464086532593,0.8148913383483887,0.47367653250694275,-0.5634561777114868,0.9993818402290344,0.819063127040863,0.4727921783924103,-0.5634221434593201,0.9993654489517212,0.7963238954544067,0.4736940562725067,-0.5889413952827454,0.9997076392173767,0.7896884679794312,0.47237294912338257,-0.5891094207763672,0.9996759295463562,0.7826540470123291,0.4707868695259094,-0.5892260074615479,0.9997612237930298,0.8176828026771545,0.46624571084976196,-0.39865830540657043,0.998856246471405,0.7636221051216125,0.4625987410545349,-0.5193354487419128,0.9997908473014832,0.8054494857788086,0.4887332022190094,-0.49067065119743347,0.9998086094856262,0.7889477610588074,0.4872561991214752,-0.5253429412841797,0.9999216794967651,0.8366038799285889,0.5017217397689819,-0.20151947438716888,0.9998781681060791,0.6596320867538452,0.49532318115234375,-0.3633284866809845,0.9999648332595825,0.8510569930076599,0.5755795240402222,-0.041796132922172546,0.8689060211181641,0.6100105047225952,0.5747164487838745,-0.2892668843269348,0.9922752976417542,0.7947611212730408,0.61525559425354,-0.19566595554351807,0.7782544493675232,0.6959775686264038,0.6106836795806885,-0.3762325048446655,0.9774026870727539,0.7781355381011963,0.6331900358200073,-0.23649106919765472,0.7015080451965332,0.7278686761856079,0.6258878111839294,-0.427692174911499,0.9562195539474487,0.7726343274116516,0.6235752105712891,-0.2872336506843567,0.7097373008728027,0.7389034628868103,0.6168022155761719,-0.4477280080318451,0.9573342800140381,0.7755004167556763,0.6168993711471558,-0.21658335626125336,0.6868091225624084,0.7312368750572205,0.6102586388587952,-0.37905508279800415,0.9351491928100586,0.7793076038360596,0.655113160610199,0.0499841570854187,0.9987542629241943,0.679832398891449,0.6505975723266602,-0.05005589872598648,0.9991081953048706,0.765316903591156,0.7699064016342163,0.05528648570179939,0.9752892255783081,0.6384963989257812,0.7651352286338806,-0.04931768774986267,0.9882788062095642,0.7500735521316528,0.8614165782928467,0.3269692659378052,0.9674234986305237,0.6201074123382568,0.862923264503479,0.16816088557243347,0.9826022982597351,0.7343036532402039,0.8706314563751221,0.3441660702228546,0.8760823607444763,0.6280843615531921,0.8732230067253113,0.18119080364704132,0.8269715309143066,0.7908155918121338,0.9055742621421814,0.1771976202726364,0.9591000080108643,0.6272713541984558,0.911711573600769,-0.01853216625750065,0.9671431183815002
7,0.8038617372512817,0.484340637922287,-0.5510541796684265,0.9998263716697693,0.8107374906539917,0.4745597839355469,-0.5452479124069214,0.999527633190155,0.8148193359375,0.4737788736820221,-0.5452099442481995,0.9993566274642944,0.8189806342124939,0.47288817167282104,-0.545168399810791,0.9993362426757812,0.7963166832923889,0.4737522304058075,-0.5690844058990479,0.99969482421875,0.7896941304206848,0.47241970896720886,-0.5692241191864014,0.9996623396873474,0.7826780080795288,0.47081100940704346,-0.5693520307540894,0.9997500777244568,0.8174713850021362,0.46625062823295593,-0.37641647458076477,0.99879390001297,0.7637845873832703,0.46259549260139465,-0.49120303988456726,0.9997794032096863,0.8054493069648743,0.4887009263038635,-0.4721444547176361,0.9997929334640503,0.7890821695327759,0.4872400164604187,-0.5052942633628845,0.999915599822998,0.8365504145622253,0.5017194747924805,-0.17801518738269806,0.9998741149902344,0.6598886847496033,0.495277464389801,-0.3326861560344696,0.9999635219573975,0.8507290482521057,0.5755690932273865,-0.004767863545566797,0.8683754801750183,0.6099463105201721,0.5746968984603882,-0.2572198510169983,0.9923961162567139,0.794643223285675,0.6151159405708313,-0.16565924882888794,0.7832151651382446,0.6961791515350342,0.610561192035675,-0.347262978553772,0.978056788444519,0.7780576944351196,0.6331802010536194,-0.20698900520801544,0.7072198390960693,0.7281286716461182,0.6257532238960266,-0.39452630281448364,0.9572920203208923,0.7726078033447266,0.6235729455947876,-0.25830256938934326,0.7153650522232056,0.7390350699424744,0.6166092157363892,-0.41160446405410767,0.9583907723426819,0.7754567265510559,0.6168626546859741,-0.1869209110736847,0.6929441094398499,0.7313686013221741,0.6100496053695679,-0.34894976019859314,0.9367541074752808,0.7793492078781128,0.6552574038505554,0.0493960902094841,0.9986839890480042,0.6798689961433411,0.6506901383399963,-0.04944899305701256,0.9990590214729309,0.7653299570083618,0.7702228426933289,0.050905436277389526,0.9746254682540894,0.6390180587768555,0.7652612328529358,-0.054765019565820694,0.9881537556648254,0.7504231333732605,0.8611872792243958,0.3418370187282562,0.966210663318634,0.6201252341270447,0.8628855347633362,0.17724701762199402,0.9822060465812683,0.7348471879959106,0.8699857592582703,0.3622695207595825,0.8749816417694092,0.6277973651885986,0.8732044696807861,0.19331346452236176,0.8251129984855652,0.7913693189620972,0.90556800365448,0.19408118724822998,0.9574178457260132,0.6277090907096863,0.911677896976471,-0.011802454479038715,0.9660985469818115
8,0.8040088415145874,0.4843981862068176,-0.5327498316764832,0.9998217225074768,0.8108307123184204,0.47488218545913696,-0.5265007615089417,0.9995155930519104,0.8148815035820007,0.47410619258880615,-0.5264671444892883,0.9993407726287842,0.819023072719574,0.47319233417510986,-0.5264229774475098,0.999316930770874,0.7964679598808289,0.4739913046360016,-0.5505544543266296,0.9996862411499023,0.7898520231246948,0.472629189491272,-0.5506824851036072,0.9996532201766968,0.7828472852706909,0.4709719121456146,-0.5508055090904236,0.9997420907020569,0.8174023032188416,0.4662895202636719,-0.35847949981689453,0.9987474679946899,0.7639620304107666,0.46261611580848694,-0.4738619029521942,0.9997707605361938,0.8055197596549988,0.4887080192565918,-0.45447126030921936,0.9997813701629639,0.7892325520515442,0.48724663257598877,-0.4878902733325958,0.9999111890792847,0.8365038633346558,0.5016822218894958,-0.1651117205619812,0.999872088432312,0.6599987149238586,0.495257705450058,-0.31682083010673523,0.9999625086784363,0.8504802584648132,0.5755763649940491,0.0027073684614151716,0.8691630959510803,0.609873354434967,0.5746954679489136,-0.24250440299510956,0.9925729036331177,0.7944387793540955,0.6150007247924805,-0.16563183069229126,0.7903916835784912,0.6962049007415771,0.6104832291603088,-0.3334875702857971,0.9789166450500488,0.7781195640563965,0.6331761479377747,-0.20817404985427856,0.7158105969429016,0.7281423211097717,0.625690758228302,-0.37995174527168274,0.9587720036506653,0.7725446820259094,0.6235727667808533,-0.25984638929367065,0.7238004803657532,0.739031195640564,0.6164332628250122,-0.39695701003074646,0.9598434567451477,0.7753802537918091,0.6168612837791443,-0.18719540536403656,0.7018343210220337,0.7313758730888367,0.6098591685295105,-0.3351373076438904,0.9389086365699768,0.7793596386909485,0.6554069519042969,0.048917923122644424,0.9986397624015808,0.6798760294914246,0.6508141160011292,-0.0489606112241745,0.9990242719650269,0.7654445171356201,0.7704502940177917,0.04793279245495796,0.9745059609413147,0.639025866985321,0.7653840184211731,-0.055454056710004807,0.9881705641746521,0.7507573366165161,0.8611876964569092,0.3427489101886749,0.965844988822937,0.6201274394989014,0.862841784954071,0.18358813226222992,0.9821326732635498,0.7350829839706421,0.8699042201042175,0.3631468415260315,0.8751596212387085,0.6276085376739502,0.8731772899627686,0.20029321312904358,0.8249130845069885,0.7919536232948303,0.9057073593139648,0.19345204532146454,0.9567449688911438,0.627784788608551,0.911670446395874,-0.006164379883557558,0.9657020568847656
9,0.8042035102844238,0.48440274596214294,-0.5183236002922058,0.999809980392456,0.8109191060066223,0.47494712471961975,-0.5115128755569458,0.999485194683075,0.8149277567863464,0.4741846024990082,-0.5114890933036804,0.9992995262145996,0.8190383315086365,0.47327330708503723,-0.5114522576332092,0.9992713332176208,0.7966718077659607,0.47401848435401917,-0.5356063842773438,0.9996662139892578,0.7900872826576233,0.472650408744812,-0.535737931728363,0.999631404876709,0.7831277847290039,0.4709849953651428,-0.5358697772026062,0.9997251033782959,0.8172768950462341,0.4662933647632599,-0.3435501456260681,0.9986474514007568,0.7642486095428467,0.46261483430862427,-0.4584702253341675,0.9997537136077881,0.8056133389472961,0.4886796176433563,-0.44033023715019226,0.9997590184211731,0.7894441485404968,0.48722752928733826,-0.47369349002838135,0.9999028444290161,0.8364230394363403,0.5016265511512756,-0.15223735570907593,0.9998663663864136,0.6600208878517151,0.4952468276023865,-0.3040061295032501,0.9999607801437378,0.8501012325286865,0.5754621624946594,0.01071039866656065,0.8676002025604248,0.6097519397735596,0.5746782422065735,-0.23171310126781464,0.9926549792289734,0.794327974319458,0.6147645115852356,-0.16091415286064148,0.7938216924667358,0.696212112903595,0.6102678775787354,-0.32381030917167664,0.9794753193855286,0.778448224067688,0.6329578757286072,-0.2031899243593216,0.7201674580574036,0.7281609773635864,0.6254723072052002,-0.3698088228702545,0.959699809551239,0.773041307926178,0.6234391331672668,-0.255003958940506,0.7281099557876587,0.7390251159667969,0.616001546382904,-0.3863407075405121,0.9607574343681335,0.7755398154258728,0.6167070269584656,-0.18265409767627716,0.706508994102478,0.7313754558563232,0.609413743019104,-0.32524925470352173,0.9402681589126587,0.7793791890144348,0.6554126739501953,0.04865329712629318,0.9985582232475281,0.679886519908905,0.6508370041847229,-0.048687007278203964,0.9989650249481201,0.7655105590820312,0.7704998254776001,0.04662735015153885,0.9737212657928467,0.6393119692802429,0.7654106020927429,-0.060571253299713135,0.9879712462425232,0.7509939074516296,0.861161470413208,0.3388533294200897,0.9645716547966003,0.6201415657997131,0.8628426194190979,0.18241950869560242,0.9816941618919373,0.7353179454803467,0.8698164224624634,0.35875365138053894,0.8736354112625122,0.6273002624511719,0.8731882572174072,0.19997525215148926,0.8229286074638367,0.7923154234886169,0.9056903123855591,0.1886327713727951,0.9550755620002747,0.627929151058197,0.9116550087928772,-0.00892297737300396,0.9646633267402649
